contents,sub_topics,woe
long,content_size,0.6486954179891116
medium,content_size,-0.5947071077466928
short,content_size,-0.3364722366212129
has_image,image,-1.3217558399823195
no_image,image,0.664159643686693
has_link,link,0.03922071315328133
no_link,link,-0.06899287148695156
am,language,-0.2231435513142097
en,language,0.02817087696669644
Early Morning,time,0.9808292530117263
Eve,time,-0.2719337154836418
Late Night,time,0.287682072451781
Morning,time,-0.6061358035703156
Night,time,0.6931471805599453
Noon,time,-0.048790164169432056
