contents,features,woe
long,content_size,0.9357088177312566
medium,content_size,-0.8560506514967984
short,content_size,-0.408025928969838
has_image,image,-2.2141741356499924
no_image,image,0.7125652664170469
has_link,link,0.04189094170916013
no_link,link,-0.09391059944990161
am,language,0.0
en,language,0.04725288485054551
Early Morning,time,1.3411739258394209
Eve,time,-0.5559460590464603
Late Night,time,0.24256163717131127
Morning,time,-0.39342712954868536
Night,time,-0.045120435280469655
Noon,time,0.08841095734405294
